Plot,Treatment,Year,WConnectance,GeneralityHL,InteractionEvenness,VulnerabilityLL,PRichness,Visits,VRichness,Chao,FRichness,TotalFlowers,VisitsOverFlowers,WheatCover,CFCover,CMCover,RDNCover,SWCover,CWCover,CFVisits,CFFlowers,CFVisitsOverFlowers,CMVisits,CMFlowers,CMVisitsOverFlowers,RDNVisits,RDNFlowers,RDNVisitsOverFlowers,CWVisits,CWFlowers,CWVisitsOverFlowers,SWVisits,SWFlowers,SWVisitsOverFlowers,MeanDiet
1,Control,1,0.15855783,1.79430919,0.68137067,7.71916058,20,68,25,41.8,16,884,0.076923077,0.82,0.05,0.12,0.01,0.07,0.1,24,99,0.242424242,28,241,0.116182573,0,20,0,6,189,0.031746032,1,72,0.013888889,1.44
2,Heat+Water,1,0.18689279,1.43495829,0.60081873,7.53589555,17,79,18,20.20408,13,539,0.146567718,0.92,0.05,0.04,0.02,0.01,0.07,55,138,0.398550725,19,78,0.243589744,2,29,0.068965517,1,80,0.0125,1,36,0.027777778,1.5
3,Water,1,0.15849281,1.57484826,0.63654674,6.98376343,16,67,22,43,14,1028,0.065175097,0.75,0.06,0.3,0.03,0.01,0.1,18,157,0.114649682,38,492,0.077235772,0,18,0,5,78,0.064102564,0,44,0,1.318181818
4,Water,1,0.15031262,1.44548398,0.64349101,5.16827138,19,59,18,39.42857,14,921,0.064060803,0.84,0.1,0.1,0.05,0.01,0.06,29,247,0.117408907,19,255,0.074509804,3,92,0.032608696,0,80,0,0,12,0,1.388888889
5,Control,1,0.12955961,1.26458689,0.57197817,5.73163204,16,83,21,26.78571,16,1129,0.073516386,0.83,0.09,0.15,0.15,0.01,0.04,25,221,0.113122172,47,276,0.170289855,8,301,0.026578073,1,35,0.028571429,0,40,0,1.238095238
6,Water,1,0.19780494,1.5552246,0.65853776,9.12624195,18,77,22,34.34286,13,1399,0.055039314,0.76,0.07,0.35,0.12,0.01,0.04,31,210,0.147619048,41,468,0.087606838,2,354,0.005649718,0,31,0,0,30,0,1.5
7,Heat+Water,1,0.21302507,1.3295603,0.6513984,5.48724185,14,43,12,13.71429,13,366,0.117486339,0.95,0.03,0.04,0.02,0.02,0.02,24,74,0.324324324,17,72,0.236111111,0,20,0,0,15,0,1,22,0.045454545,1.25
8,Heat,1,0.23240763,1.37699454,0.70624336,6.98968009,15,35,15,18,11,431,0.081206497,0.96,0.03,0.03,0.02,0.04,0.02,21,87,0.24137931,13,57,0.228070175,0,9,0,0,10,0,1,87,0.011494253,1.133333333
9,Water,1,0.16743981,1.70745655,0.64894398,7.66917286,13,89,23,30.40816,14,927,0.09600863,0.83,0.05,0.25,0.01,0.03,0.08,32,133,0.240601504,44,442,0.099547511,0,6,0,1,97,0.010309278,11,150,0.073333333,1.47826087
10,Heat+Water,1,0.2217055,1.4594702,0.5926683,9.625805,13,52,20,41,12,749,0.069425901,0.89,0.09,0.02,0.01,0.13,0.03,44,194,0.226804124,2,20,0.1,0,8,0,0,50,0,3,341,0.008797654,1.15
11,Heat,1,0.15490392,1.30369933,0.63340917,5.82188083,13,46,19,43.14286,11,699,0.065808298,0.89,0.04,0.04,0.01,0.15,0.03,25,170,0.147058824,16,97,0.164948454,0,14,0,0,40,0,3,213,0.014084507,1.210526316
12,Heat+Water,1,0.14264432,1.96939645,0.64241346,6.01868558,14,70,20,34.28571,13,1111,0.063006301,0.84,0.05,0.03,0.01,0.1,0.03,21,175,0.12,18,128,0.140625,0,4,0,0,60,0,3,266,0.011278195,1.7
13,Heat+Water,1,0.13954717,1.50290929,0.65815358,6.86992073,19,51,24,48.77143,17,1646,0.030984204,0.82,0.03,0.04,0,0.15,0.08,8,67,0.119402985,21,150,0.14,0,8,0,0,60,0,13,386,0.033678756,1.291666667
14,Heat,1,0.16871471,1.57328045,0.69901799,7.19988452,15,68,22,34.96429,14,887,0.076662909,0.84,0.06,0.06,0.02,0.03,0.03,24,124,0.193548387,29,180,0.161111111,0,49,0,0,25,0,3,87,0.034482759,1.363636364
15,Heat,1,0.15116748,2.06593384,0.60773239,8.21345451,18,92,26,67.28571,17,1328,0.069277108,0.81,0.06,0.12,0.02,0.03,0.03,24,204,0.117647059,51,429,0.118881119,0,15,0,0,35,0,1,41,0.024390244,1.5
16,Control,1,0.13654207,1.82893714,0.59013137,6.36358715,16,90,21,28.14286,15,1580,0.056962025,0.73,0.06,0.4,0.01,0.01,0.08,16,142,0.112676056,52,712,0.073033708,0,14,0,3,102,0.029411765,1,35,0.028571429,1.666666667
17,Heat+Water,1,0.18873694,1.34772805,0.61095752,7.33417142,15,71,18,27.14286,14,1131,0.062776304,0.85,0.04,0.25,0.01,0.01,0.02,20,115,0.173913043,46,589,0.078098472,0,1,0,0,20,0,0,9,0,1.277777778
18,Heat,1,0.2528949,1.3566008,0.7706424,9.2649841,13,65,19,44.92857,11,691,0.09406657,0.93,0.05,0.12,0.01,0.01,0.01,21,132,0.159090909,44,332,0.13253012,0,2,0,0,5,0,0,21,0,1.263157895
19,Water,1,0.162781189,1.647961307,0.584401837,8.118910007,18,88,23,37.48571,15,1578,0.055766793,0.81,0.07,0.3,0.02,0.05,0.03,22,203,0.108374384,58,591,0.098138748,3,60,0.05,1,85,0.011764706,1,173,0.005780347,1.434782609
20,Control,1,0.15507398,1.52775516,0.6279355,8.08683163,18,87,25,33.04762,16,1597,0.054477145,0.62,0.1,0.6,0.03,0.1,0.1,25,253,0.098814229,47,762,0.06167979,7,60,0.116666667,2,52,0.038461538,4,173,0.023121387,1.4
21,Control,1,0.15259872,1.34947746,0.63606924,8.41684087,14,79,27,37.5,14,2083,0.037926068,0.68,0.12,0.5,0.05,0.1,0.07,28,355,0.078873239,39,702,0.055555556,2,253,0.007905138,0,145,0,8,351,0.022792023,1.222222222
22,Heat,1,0.12716966,1.70952548,0.59087408,5.66631468,13,51,21,49,14,933,0.054662379,0.9,0.05,0.07,0.01,0.05,0.02,23,152,0.151315789,17,158,0.107594937,1,16,0.0625,0,51,0,3,283,0.010600707,1.428571429
23,Control,1,0.10071216,1.41806602,0.56471853,6.63890647,16,106,32,49.35714,15,2061,0.051431344,0.64,0.2,0.65,0.04,0.15,0.07,26,312,0.083333333,55,723,0.076071923,1,71,0.014084507,2,130,0.015384615,13,475,0.027368421,1.375
24,Water,1,0.15726721,1.72356427,0.62827966,8.02700268,19,71,24,56.14286,14,1628,0.043611794,0.69,0.06,0.78,0.01,0.15,0.04,14,138,0.101449275,42,600,0.07,0,67,0,1,41,0.024390244,4,329,0.012158055,1.541666667
1,Control,2,0.2565184,1.2483678,0.6835411,9.525403,14,53,18,24.12245,10,701,0.075606277,0.7,0.01,0.3,0.02,0.05,0.07,0,7,0,43,307,0.140065147,3,59,0.050847458,0,95,0,0,85,0,1.166666667
2,Heat+Water,2,0.23561344,1.411766,0.61866214,8.48399828,17,61,17,25.67857,12,745,0.081879195,0.8,0.01,0.2,0.06,0.05,0.04,7,17,0.411764706,50,282,0.177304965,0,75,0,0,95,0,0,125,0,1.235294118
3,Water,2,0.13830089,1.54575351,0.58447035,5.92249452,20,112,20,22.625,11,2101,0.053307949,0.52,0.03,0.5,0.17,0.04,0.2,19,63,0.301587302,67,509,0.131630648,15,682,0.021994135,1,395,0.002531646,1,210,0.004761905,1.5
4,Water,2,0.17859957,1.60802934,0.61039895,8.0363474,15,103,22,42.57143,9,2512,0.041003185,0.51,0.03,0.7,0.2,0.04,0.15,9,52,0.173076923,76,512,0.1484375,9,1055,0.008530806,1,375,0.002666667,0,134,0,1.454545455
5,Control,2,0.18561966,1.58841259,0.61657072,5.83637392,13,100,17,21.2,10,2239,0.044662796,0.6,0.02,0.65,0.3,0.05,0.15,20,61,0.327868852,74,610,0.121311475,6,1113,0.005390836,0,213,0,0,140,0,1.352941176
6,Water,2,0.1826066,1.2275025,0.5567326,6.8071899,14,79,18,39.42857,11,2031,0.038897095,0.75,0.01,0.65,0.15,0.01,0.13,4,18,0.222222222,67,771,0.08690013,7,885,0.007909605,1,170,0.005882353,0,45,0,1.166666667
7,Heat+Water,2,0.27395331,1.53399573,0.74633141,7.78041678,13,72,15,24.14286,12,579,0.124352332,0.85,0.02,0.25,0.05,0.03,0.02,16,58,0.275862069,56,385,0.145454545,0,27,0,0,11,0,0,42,0,1.333333333
8,Heat,2,0.1819091,1.4491605,0.5748018,7.2824775,18,91,20,28.57143,11,1358,0.067010309,0.5,0.03,0.6,0.05,0.25,0.04,17,131,0.129770992,71,951,0.074658254,0,20,0,0,35,0,2,135,0.014814815,1.25
9,Water,2,0.19988967,1.04890953,0.55270227,7.34645661,12,84,17,20,9,1663,0.050511124,0.3,0,0.75,0.05,0.15,0.2,0,0,NA,79,947,0.083421331,3,163,0.018404908,2,276,0.007246377,0,153,0,1.055555556
10,Heat+Water,2,0.2406925,1.5751714,0.7258528,7.5711418,13,110,17,78.71429,9,1000,0.11,0.67,0.06,0.35,0.01,0.2,0.05,37,148,0.25,73,522,0.139846743,0,0,NA,0,40,0,0,203,0,1.294117647
11,Heat,2,0.19911194,1.55849977,0.63766854,7.6006494,14,130,20,28.57143,6,859,0.151338766,0.75,0.05,0.32,0.01,0.15,0.01,35,157,0.222929936,94,573,0.164048866,0,0,NA,0,5,0,1,105,0.00952381,1.25
12,Heat+Water,2,0.2311051,1.6797213,0.6511377,5.2534316,11,83,12,12.64286,9,724,0.114640884,0.9,0.03,0.16,0.01,0.05,0.01,30,131,0.229007634,52,502,0.103585657,0,4,0,0,3,0,1,71,0.014084507,1.5
13,Heat+Water,2,0.27171957,1.03588779,0.67354038,11.46321248,20,102,21,72.85714,9,2179,0.046810464,0.4,0.01,0.84,0.01,0.45,0.06,0,6,0,100,999,0.1001001,0,0,NA,0,95,0,0,575,0,1.047619048
14,Heat,2,0.2829167,1,0.6655244,10.3166692,18,76,18,35.28571,11,1681,0.045211184,0.6,0.01,0.5,0.04,0.3,0.05,0,8,0,75,682,0.109970674,1,77,0.012987013,0,65,0,0,365,0,1
15,Heat,2,0.3151551,1,0.8148374,9.0849623,12,82,15,18.85714,7,1011,0.081107814,0.85,0,0.45,0.01,0.05,0.01,0,0,NA,82,717,0.114365411,0,17,0,0,18,0,0,127,0,1
16,Control,2,0.2199715,1.54765223,0.60666228,7.25120778,13,71,16,27.57143,9,1800,0.039444444,0.7,0.01,0.62,0.01,0.03,0.14,11,22,0.5,57,825,0.069090909,1,111,0.009009009,0,250,0,0,185,0,1.375
17,Heat+Water,2,0.21128854,1.05252529,0.5782852,7.39901619,14,129,18,29.57143,7,1905,0.067716535,0.65,0,0.9,0.01,0.07,0.01,0,0,NA,127,1520,0.083552632,0,5,0,0,25,0,0,70,0,1.111111111
18,Heat,2,0.22756301,1.42373287,0.57189201,5.40315739,13,93,12,14.28571,6,1237,0.075181892,0.8,0.02,0.66,0.01,0.01,0.01,11,40,0.275,81,1050,0.077142857,0,10,0,0,0,NA,1,17,0.058823529,1.25
19,Water,2,0.22445124,1.19374723,0.60167543,8.23320505,13,65,18,102,10,1501,0.043304464,0.5,0.02,0.83,0.02,0.01,0.2,5,50,0.1,59,835,0.070658683,1,242,0.004132231,0,135,0,0,65,0,1.111111111
20,Control,2,0.18596219,1.06864521,0.47144821,6.36984236,16,99,15,25.5,7,1936,0.051136364,0.45,0.01,0.9,0.03,0.01,0.25,0,0,NA,95,1103,0.08612874,1,205,0.004878049,1,235,0.004255319,1,222,0.004504505,1.133333333
21,Control,2,0.1465884,1.23484443,0.48057291,4.62869142,15,85,16,77.71429,8,1995,0.042606516,0.5,0.01,0.9,0.07,0.03,0.12,7,15,0.466666667,73,1051,0.069457659,4,357,0.011204482,0,190,0,0,145,0,1.1875
22,Heat,2,0.1687727,1.39396045,0.56440458,7.71976516,9,114,24,60.57143,5,1242,0.09178744,0.8,0.02,0.73,0.01,0.03,0.01,16,84,0.19047619,97,1098,0.088342441,1,15,0.066666667,0,0,NA,0,25,0,1.083333333
23,Control,2,0.18269547,1.06124704,0.51241716,9.16969934,17,105,24,40.8,11,1775,0.05915493,0.4,0.01,0.86,0.04,0.1,0.08,1,11,0.090909091,102,1170,0.087179487,1,179,0.005586592,0,165,0,0,190,0,1.083333333
24,Water,2,0.1821756,1.15442725,0.55934404,8.68305497,16,96,23,39.8,10,2292,0.041884817,0.45,0.01,0.85,0.04,0.1,0.1,0,1,0,84,1259,0.066719619,9,318,0.028301887,1,380,0.002631579,0,205,0,1.173913043
